grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050550,4/16/2017 2:36,123.00,4.88,,15.56,0.00,0.00,119.50
NL050550,4/16/2017 4:09,127.00,5.15,,15.56,0.00,0.00,119.50
NL250740,1/7/2017 15:55,151.00,4.53,,19.24,0.00,0.00,149.50
NL110550,2/19/2017 16:20,121.00,4.53,18.10,9.38,6.21,0.00,119.50
NL050550,4/16/2017 0:59,123.00,#DIV/0!,,15.67,#DIV/0!,0.00,119.50
NL250740,1/7/2017 11:38,161.00,4.59,,18.97,#DIV/0!,0.00,149.50
NL550740,3/1/2017 18:14,176.00,4.78,,20.46,#DIV/0!,0.00,154.50
NL050550,1/19/2017 14:27,122.00,4.06,19.15,10.82,7.06,26.16,119.50
NL050350,1/3/2017 12:40,76.00,4.56,19.81,10.60,6.74,34.89,69.50
NL050350,1/3/2017 10:48,74.00,4.60,19.30,10.64,7.14,35.26,69.50
NL050350,1/3/2017 14:32,77.00,4.63,20.11,10.53,7.04,35.28,69.50
NL050350,1/3/2017 16:25,76.00,4.71,20.25,10.61,6.80,35.34,69.50
NL050350,1/3/2017 8:59,83.00,4.74,17.52,11.25,6.35,36.37,69.50
NL050350,3/21/2017 5:22,73.00,4.52,20.51,10.11,7.82,36.81,69.50
NL050350,3/21/2017 2:40,76.00,4.75,19.69,10.06,6.79,36.90,69.50
NL050350,3/21/2017 7:11,71.00,4.57,20.76,9.92,7.65,36.92,69.50
NL050350,3/20/2017 23:57,72.00,4.61,21.42,10.37,7.43,37.58,69.50
NL050350,3/20/2017 21:14,78.00,4.60,21.30,10.54,7.07,38.03,69.50
NL050350,1/3/2017 7:50,85.00,4.59,18.57,11.96,6.17,38.22,69.50
NL050350,1/3/2017 17:35,86.00,4.77,18.14,11.72,6.86,38.44,69.50
NL050420,3/19/2017 9:41,87.00,4.70,22.18,10.92,6.07,38.57,89.50
NL050350,1/3/2017 18:10,88.00,4.76,20.44,12.14,6.20,39.49,69.50
NL050550,3/4/2017 11:47,127.00,3.93,19.47,10.58,7.09,39.73,119.50
NL050420,3/19/2017 8:42,97.00,4.97,20.09,11.74,4.48,40.13,89.50
NL050420,2/22/2017 18:59,92.00,5.08,23.34,11.23,6.25,40.51,89.50
NL050350,1/3/2017 18:45,77.00,4.21,19.70,12.30,6.67,40.59,69.50
NL050420,1/14/2017 1:15,96.00,4.43,21.56,12.17,5.72,40.61,89.50
NL050350,3/21/2017 9:44,88.00,4.83,21.94,11.16,7.21,40.73,69.50
NL050420,3/9/2017 22:06,89.00,5.08,22.61,11.30,6.56,40.80,89.50
NL050420,3/10/2017 7:17,93.00,5.03,25.03,11.40,6.32,40.82,89.50
NL050420,2/22/2017 18:16,94.00,5.18,23.50,11.26,6.76,40.97,89.50
NL050420,2/18/2017 13:38,96.00,5.19,24.24,11.41,5.94,40.98,89.50
NL050420,3/9/2017 19:59,98.00,5.02,24.54,11.03,6.50,40.98,89.50
NL050420,2/22/2017 13:59,97.00,5.42,26.11,11.27,6.71,41.09,89.50
NL050420,1/22/2017 3:35,90.00,4.99,21.07,11.99,6.31,41.15,89.50
NL050420,2/22/2017 9:45,94.00,5.25,25.91,11.40,6.67,41.20,89.50
NL050420,4/9/2017 1:38,93.00,5.05,21.72,12.21,5.99,41.30,89.50
NL050420,4/9/2017 3:17,96.00,4.91,21.87,11.98,6.55,41.31,89.50
NL050420,4/9/2017 4:59,95.00,4.94,22.93,12.02,6.33,41.32,89.50
NL050420,1/14/2017 0:09,96.00,4.97,22.84,12.65,6.58,41.35,89.50
NL050420,2/22/2017 7:39,94.00,5.07,25.08,11.30,6.92,41.40,89.50
NL050420,3/19/2017 10:32,88.00,4.67,22.36,11.59,6.58,41.40,89.50
NL050420,2/22/2017 11:52,95.00,5.19,25.56,11.45,6.99,41.42,89.50
NL050420,2/12/2017 21:38,92.00,5.01,23.62,11.43,6.41,41.49,89.50
NL050420,1/22/2017 3:03,92.00,4.80,21.26,12.12,6.25,41.49,89.50
NL050420,1/22/2017 5:09,94.00,4.73,22.37,12.05,6.42,41.50,89.50
NL050420,1/14/2017 3:26,92.00,4.80,23.83,12.41,6.33,41.51,89.50
NL050420,2/22/2017 16:07,97.00,5.13,25.79,11.34,6.86,41.51,89.50
NL050420,1/22/2017 0:24,93.00,4.82,21.54,11.96,6.79,41.52,89.50
NL050420,1/22/2017 2:00,91.00,4.89,21.45,12.10,6.74,41.53,89.50
NL050420,2/22/2017 3:25,93.00,5.08,24.25,11.70,6.26,41.56,89.50
NL050420,1/22/2017 7:26,92.00,4.71,21.99,12.26,6.38,41.57,89.50
NL050550,3/19/2017 7:49,90.00,4.73,23.57,11.98,7.02,41.57,119.50
NL050420,1/21/2017 19:37,93.00,4.80,22.52,11.97,6.74,41.58,89.50
NL050420,1/14/2017 4:31,85.00,3.64,18.21,12.44,6.79,41.58,89.50
NL050420,1/21/2017 18:01,92.00,5.03,22.64,12.09,6.36,41.58,89.50
NL050420,3/10/2017 3:45,94.00,5.17,23.80,11.30,6.44,41.58,89.50
NL050550,3/19/2017 5:42,95.00,5.02,23.28,12.53,5.66,41.62,119.50
NL050420,1/14/2017 0:42,94.00,4.78,21.60,12.56,6.05,41.63,89.50
NL050550,3/19/2017 4:51,83.00,4.60,22.59,12.14,6.41,41.67,119.50
NL050420,1/21/2017 21:13,93.00,4.79,21.90,12.15,6.68,41.69,89.50
NL050420,2/12/2017 18:46,94.00,5.13,24.49,11.43,6.25,41.71,89.50
NL050420,2/12/2017 20:55,94.00,5.07,23.12,11.50,6.37,41.72,89.50
NL050420,3/10/2017 10:06,96.00,4.96,25.59,11.55,6.55,41.73,89.50
NL050420,1/14/2017 5:04,86.00,4.06,20.60,12.46,6.30,41.74,89.50
NL050420,3/10/2017 9:24,93.00,5.05,23.86,11.48,6.67,41.74,89.50
NL050420,2/12/2017 16:35,94.00,4.82,23.46,11.35,6.39,41.74,89.50
NL050420,4/9/2017 0:00,97.00,4.89,21.16,12.27,6.13,41.76,89.50
NL050420,1/21/2017 22:48,94.00,4.88,23.74,12.04,7.12,41.76,89.50
NL050420,2/22/2017 5:31,94.00,5.27,24.72,11.62,6.28,41.78,89.50
NL050420,3/31/2017 15:32,94.00,4.68,22.53,13.11,5.93,41.79,89.50
NL050420,2/5/2017 22:29,99.00,5.19,26.12,11.42,6.48,41.80,89.50
NL050420,1/4/2017 8:24,92.00,4.54,19.69,13.33,6.60,41.82,89.50
NL050420,1/14/2017 1:48,95.00,4.86,22.19,12.57,6.42,41.85,89.50
NL050420,2/18/2017 12:56,98.00,5.22,25.05,11.61,6.24,41.85,89.50
NL050420,1/14/2017 3:59,93.00,4.98,22.82,12.60,6.17,41.89,89.50
NL050420,2/6/2017 7:48,96.00,4.96,24.06,11.52,6.48,41.95,89.50
NL050420,2/6/2017 2:49,97.00,4.97,24.11,11.48,6.43,42.04,89.50
NL050420,1/14/2017 2:21,90.00,4.80,22.29,12.52,6.48,42.09,89.50
