,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
1,31.0,3.6191,12.6281,7.5877,10.3875,18.833,27.5,1,0,0,0,0,0,1,0,0,0,0,0,34.04570666218309
3,33.0,3.5727,10.7879,7.5949,9.4573,20.7275,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.196426404336805
4,35.0,3.7,10.3388,8.3957,6.3791,22.5969,27.5,1,0,0,0,0,0,1,0,0,0,0,0,34.289884374581675
5,31.0,3.5383,10.8117,7.8215,7.4921,22.8837,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.471980920042903
6,32.0,3.3717,10.046,7.7789,7.6272,22.9395,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.301346118937126
7,30.0,3.475,10.0847,7.9724,7.2037,22.9805,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.211391818102378
8,31.0,3.5464,9.7527,7.7237,8.0329,22.9954,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.961316923277806
9,31.0,3.4117,10.7531,8.0643,8.3074,23.0044,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.97793487522096
10,32.0,3.5236,10.4822,7.5447,7.6345,23.0382,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.702577881319982
11,28.0,3.49,10.7048,8.107,7.7554,23.0488,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.02447883576183
12,32.0,3.5264,10.2162,7.67,7.8933,23.0755,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.936753555075512
13,30.0,3.4908,9.9295,7.8871,7.2517,23.0829,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.020604804104586
14,29.0,3.4267,10.5599,7.7297,7.828,23.1068,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.82117576861514
15,30.0,3.4525,10.8996,7.8215,7.9119,23.1136,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.36129454164265
16,28.0,3.4925,11.1269,7.7231,7.964,23.1358,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.46173130755976
