grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050350,1/7/2017 10:50,76.0000000000,4.6683340000,#DIV/0!,9.7506620000,#DIV/0!,0.0000000000,69.5000000000
CM020230,1/23/2017 13:04,31.0000000000,3.6190910000,12.6280500000,7.5876920000,10.3875000000,18.8329500000,27.5000000000
NL050350,4/16/2017 2:22,73.0000000000,4.7000000000,#DIV/0!,9.5538110000,0.0000000000,20.3998000000,69.5000000000
CM020230,1/23/2017 14:59,33.0000000000,3.5727270000,10.7878500000,7.5948500000,9.4572850000,20.7275100000,27.5000000000
CM020230,1/10/2017 0:30,35.0000000000,3.7000000000,10.3388200000,8.3956740000,6.3791210000,22.5969400000,27.5000000000
CM020230,2/4/2017 9:47,31.0000000000,3.5383330000,10.8116800000,7.8215270000,7.4921470000,22.8836800000,27.5000000000
CM020230,1/11/2017 19:02,32.0000000000,3.3716670000,10.0459800000,7.7788760000,7.6272350000,22.9395400000,27.5000000000
CM020230,1/12/2017 1:43,30.0000000000,3.4750000000,10.0847300000,7.9724450000,7.2036960000,22.9805000000,27.5000000000
CM020230,1/24/2017 18:57,31.0000000000,3.5463640000,9.7526560000,7.7236980000,8.0328510000,22.9954000000,27.5000000000
CM020230,1/11/2017 21:00,31.0000000000,3.4116670000,10.7531200000,8.0643090000,8.3073880000,23.0044000000,27.5000000000
CM020230,1/23/2017 7:58,32.0000000000,3.5236360000,10.4821500000,7.5447430000,7.6345030000,23.0382200000,27.5000000000
CM020230,1/9/2017 15:29,28.0000000000,3.4900000000,10.7047800000,8.1069590000,7.7554240000,23.0487700000,27.5000000000
CM020230,1/24/2017 15:07,32.0000000000,3.5263640000,10.2162400000,7.6700120000,7.8932760000,23.0754600000,27.5000000000
CM020230,1/10/2017 15:46,30.0000000000,3.4908330000,9.9295020000,7.8871430000,7.2516580000,23.0829100000,27.5000000000
CM020230,1/9/2017 13:30,29.0000000000,3.4266670000,10.5598900000,7.7296630000,7.8280360000,23.1068100000,27.5000000000
CM020230,1/9/2017 12:11,30.0000000000,3.4525000000,10.8995800000,7.8215270000,7.9119150000,23.1136300000,27.5000000000
CM020230,1/24/2017 1:12,28.0000000000,3.4925000000,11.1268500000,7.7231010000,7.9639950000,23.1358200000,27.5000000000
CM020230,1/11/2017 23:01,33.0000000000,3.4816670000,10.6431500000,7.7231010000,7.7798700000,23.1460600000,27.5000000000
CM020230,4/11/2017 9:28,30.0000000000,3.4800000000,10.6162200000,7.4311070000,8.1182660000,23.1460600000,27.5000000000
CM020230,4/11/2017 6:15,33.0000000000,3.5166670000,10.5070800000,7.5918670000,7.5146070000,23.1597200000,27.5000000000
CM020230,1/23/2017 9:15,31.0000000000,3.5425000000,10.1719000000,7.6509230000,6.7729750000,23.1668900000,27.5000000000
CM020230,1/11/2017 19:41,30.0000000000,3.4466670000,10.5311400000,7.7952800000,7.1816720000,23.1685600000,27.5000000000
CM020230,1/24/2017 2:29,28.0000000000,3.3558330000,10.1543900000,7.6804500000,8.1115630000,23.1797300000,27.5000000000
CM020230,1/12/2017 3:04,31.0000000000,3.5075000000,10.7642800000,7.8477730000,7.6497640000,23.1819100000,27.5000000000
CM020230,1/24/2017 17:02,32.0000000000,3.4700000000,10.2435800000,7.7165390000,7.8644680000,23.1871800000,27.5000000000
CM020230,4/11/2017 11:22,31.0000000000,3.4091670000,9.8432910000,7.8280880000,7.9804480000,23.1890400000,27.5000000000
CM020230,1/12/2017 1:03,32.0000000000,3.4283330000,11.0803500000,7.8346500000,7.6332270000,23.1909000000,27.5000000000
CM020230,1/12/2017 4:27,32.0000000000,3.5633330000,9.4111430000,7.7099780000,6.2424680000,23.2103500000,27.5000000000
CM020230,1/12/2017 2:24,31.0000000000,3.3950000000,10.2468300000,7.9691640000,7.5342330000,23.2177500000,27.5000000000
CM020230,3/8/2017 22:35,28.0000000000,3.4436360000,9.6928210000,8.4430970000,8.4514970000,23.2225600000,27.5000000000
CM020230,4/11/2017 7:31,33.0000000000,3.5116670000,10.7193200000,7.6049910000,8.0424760000,23.2228700000,27.5000000000
CM020230,1/24/2017 9:24,31.0000000000,3.5027270000,10.9350400000,7.8167540000,7.9877310000,23.2393200000,27.5000000000
CM020230,1/11/2017 23:41,34.0000000000,3.6008330000,10.0985500000,7.8215270000,7.6159930000,23.2672500000,27.5000000000
CM020230,4/11/2017 17:29,32.0000000000,3.5733330000,10.6594700000,7.5885870000,7.6601410000,23.2723700000,27.5000000000
CM020230,1/23/2017 11:10,30.0000000000,3.4990910000,10.4845600000,7.7093820000,7.7745710000,23.2728300000,27.5000000000
CM020230,1/24/2017 13:13,32.0000000000,3.4000000000,10.5739100000,7.7308560000,7.8896950000,23.2746900000,27.5000000000
CM020230,4/10/2017 20:40,32.0000000000,3.5650000000,11.0304200000,7.7263820000,7.9839180000,23.2877300000,27.5000000000
CM020230,3/8/2017 18:34,28.0000000000,3.4016670000,10.7433000000,7.5656210000,8.0643140000,23.2877300000,27.5000000000
CM020230,1/23/2017 22:02,33.0000000000,3.3416670000,10.2854700000,7.8215270000,8.1595510000,23.2911400000,27.5000000000
CM020230,1/23/2017 8:37,32.0000000000,3.6190910000,10.5115800000,7.6163250000,7.6836440000,23.3026200000,27.5000000000
CM020230,1/9/2017 12:50,30.0000000000,3.3933330000,11.1213000000,8.3234950000,7.9001910000,23.3212400000,27.5000000000
CM020230,1/24/2017 0:34,30.0000000000,3.5025000000,10.9265700000,7.7427860000,7.5806760000,23.3218600000,27.5000000000
CM020230,4/11/2017 2:23,32.0000000000,3.5333330000,11.0464500000,7.6049910000,7.6466740000,23.3235700000,27.5000000000
CM020230,1/11/2017 22:21,33.0000000000,3.5116670000,10.4932600000,8.0118150000,7.8607290000,23.3249700000,27.5000000000
CM020230,1/10/2017 10:42,31.0000000000,3.4691670000,10.7279400000,7.7755950000,7.5244360000,23.3355200000,27.5000000000
CM020230,1/10/2017 23:53,32.0000000000,3.3750000000,10.0863200000,8.0544660000,7.7566000000,23.3406400000,27.5000000000
CM020230,1/10/2017 18:54,32.0000000000,3.4725000000,10.3347000000,8.3891120000,7.6573690000,23.3435900000,27.5000000000
CM020230,2/4/2017 10:26,31.0000000000,3.4983330000,9.9344020000,8.0216580000,7.7753380000,23.3474700000,27.5000000000
CM020230,1/10/2017 22:38,30.0000000000,3.4700000000,9.9083140000,8.0315010000,7.2584330000,23.3508800000,27.5000000000
CM020230,1/11/2017 1:10,32.0000000000,3.3633330000,10.7681700000,8.4416060000,7.7876580000,23.3508800000,27.5000000000
