,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
0,4.06,19.15,10.82,7.06,26.16,122,110.5485838,-11.45141616,11.45141616,2.440358255
1,3.93,19.47,10.58,7.09,39.73,127,111.40206,-15.59794004,15.59794004,
2,4.73,23.57,11.98,7.02,41.57,90,111.3683716,21.36837156,21.36837156,
3,5.02,23.28,12.53,5.66,41.62,95,113.5773215,18.57732147,18.57732147,
4,4.6,22.59,12.14,6.41,41.67,83,111.2748797,28.2748797,28.2748797,
5,4.85,32.17,15.26,8.16,45.21,121,122.8545114,1.854511396,1.854511396,
6,4.84,31.08,15.55,8.26,45.99,130,122.4248547,-7.575145259,7.575145259,
7,5.15,30,14.86,6.41,47.75,127,124.6329215,-2.367078524,2.367078524,
8,4.22,26.41,14.32,6.35,47.93,125,119.6902807,-5.309719297,5.309719297,
9,4.8,28.89,14.44,6.38,48.29,124,122.4422243,-1.557775727,1.557775727,
10,4.29,26.8,15.27,6.09,48.46,120,120.543557,0.543557048,0.543557048,
11,4.88,33.3,15.85,7.93,50.31,126,122.7570065,-3.242993485,3.242993485,
12,5.34,30.32,14.93,5.53,50.77,122,126.9915248,4.991524812,4.991524812,
13,4.75,26.09,15.82,6.16,50.9,127,122.0336956,-4.966304422,4.966304422,
14,4.77,28.11,15.23,6.42,50.96,125,122.8120626,-2.187937351,2.187937351,
15,5.13,27.63,15.48,5.95,51,120,124.8291446,4.82914457,4.82914457,
16,5.01,28.17,14.46,6.06,51.11,126,124.4627572,-1.537242824,1.537242824,
17,4.86,28.57,14.47,5.95,51.19,125,124.0938212,-0.906178828,0.906178828,
18,5.02,24.95,14.33,5.73,51.2,131,123.2935848,-7.70641517,7.70641517,
19,5.31,27.61,15.05,5.67,51.26,129,126.2174724,-2.782527599,2.782527599,
20,5.22,29.02,14.78,6.35,51.3,125,125.6289657,0.628965749,0.628965749,
21,5.23,28.91,14.8,5.88,51.31,134,126.1334727,-7.866527315,7.866527315,
22,5.03,26.21,14.51,5.49,51.35,129,124.4656172,-4.534382758,4.534382758,
23,4.93,27.09,14.69,5.63,51.35,127,124.3250427,-2.674957301,2.674957301,
24,4.68,26.34,15.33,5.96,51.35,121,122.4811468,1.481146835,1.481146835,
25,4.9,26.79,14.43,5.95,51.38,124,123.4796861,-0.520313939,0.520313939,
26,5.01,27.23,14.53,5.83,51.4,125,124.4437464,-0.556253591,0.556253591,
27,4.76,26.68,14.62,5.84,51.4,125,123.1594674,-1.840532598,1.840532598,
28,4.88,28.38,14.06,6.44,51.42,123,123.3318686,0.331868629,0.331868629,
29,5.08,29.38,15.05,6.08,51.43,124,125.3020697,1.302069662,1.302069662,
30,5.38,28.55,15.1,5.63,51.44,130,126.8435577,-3.156442274,3.156442274,
31,4.55,26.47,15.55,5.79,51.44,121,122.0468491,1.046849102,1.046849102,
32,5.09,27.94,14.96,6,51.44,126,125.0424743,-0.95752565,0.95752565,
33,4.65,21.32,14.02,6.17,51.46,117,120.8136969,3.813696891,3.813696891,
34,5.16,29.66,15.21,5.76,51.46,125,125.9411409,0.941140912,0.941140912,
35,5.26,27.81,14.82,5.81,51.49,134,126.0149342,-7.985065766,7.985065766,
36,5.14,29.25,15.42,5.94,51.49,134,125.4545512,-8.545448843,8.545448843,
37,4.79,18.83,15.42,6.12,51.49,116,121.6320632,5.632063176,5.632063176,
38,5.37,28.66,15.18,5.87,51.51,126,126.5618878,0.561887803,0.561887803,
39,4.96,27.85,14.7,5.55,51.52,125,124.8779188,-0.122081211,0.122081211,
40,4.78,18.69,15.63,5.48,51.53,122,121.8374514,-0.162548592,0.162548592,
41,5.12,27.63,15.21,5.59,51.53,125,125.4330928,0.433092842,0.433092842,
42,5.15,29.45,14.72,5.98,51.54,127,125.8987998,-1.101200202,1.101200202,
43,5.33,26.58,15.24,5.72,51.55,129,125.8563193,-3.143680702,3.143680702,
44,5.15,29.61,14.91,6.52,51.56,123,125.2940139,2.294013903,2.294013903,
45,4.94,27.37,15.45,6.04,51.56,124,123.8524737,-0.147526344,0.147526344,
46,5.21,30.03,15.35,6.18,51.57,122,125.6567854,3.65678536,3.65678536,
47,5.32,29.96,14.87,5.5,51.58,129,127.0260404,-1.973959605,1.973959605,
48,4.73,26.87,15.37,5.91,51.59,127,122.9280857,-4.07191431,4.07191431,
49,5.06,29.72,15.3,6.15,51.6,123,125.0418334,2.041833364,2.041833364,
50,5.24,28.94,14.84,5.97,51.62,126,126.1595827,0.159582699,0.159582699,
51,4.9,26.95,15.3,6.07,51.63,125,123.5956529,-1.404347108,1.404347108,
52,5.02,27.75,14.64,5.52,51.63,125,125.1597156,0.159715571,0.159715571,
53,4.98,25.5,14.54,5.83,51.64,127,123.6446133,-3.355386651,3.355386651,
54,5.19,28.92,14.18,6.07,51.64,133,125.7008271,-7.299172874,7.299172874,
55,4.98,28.6,15.46,5.75,51.64,126,124.7560194,-1.243980612,1.243980612,
56,5.01,26.25,14.61,6.01,51.66,123,123.9171387,0.917138742,0.917138742,
57,4.9,29.38,14.37,6.38,51.67,127,124.3546476,-2.645352358,2.645352358,
58,4.63,26.81,15.43,5.98,51.68,122,122.3448606,0.3448606,0.3448606,
59,5.06,27.48,14.36,5.4,51.69,121,125.22893,4.228930009,4.228930009,
60,5.08,25.63,15.7,5.71,51.69,124,124.1468847,0.146884748,0.146884748,
61,5.06,30.12,14.26,6.14,51.71,136,125.6048911,-10.39510888,10.39510888,
62,4.94,26.34,14.72,5.74,51.72,124,124.074299,0.074299026,0.074299026,
63,5.09,28.02,15.37,6.58,51.72,127,124.1728884,-2.827111643,2.827111643,
64,4.92,28.87,14.72,6.27,51.74,127,124.3850698,-2.614930173,2.614930173,
65,5.34,29.4,15.25,6.08,51.75,132,126.3330823,-5.666917676,5.666917676,
66,5.16,29.78,15.08,6.09,51.76,128,125.7674563,-2.232543661,2.232543661,
67,4.87,25.64,15.41,6.15,51.76,122,122.8925064,0.892506357,0.892506357,
68,5.18,30.09,14.93,6.37,51.76,133,125.7159138,-7.2840862,7.2840862,
69,5.14,29.2,14.9,6.15,51.76,122,125.606402,3.606401959,3.606401959,
70,4.78,25.64,15.6,5.63,51.77,124,122.9754674,-1.02453259,1.02453259,
71,4.84,27.68,14.27,6.58,51.78,122,122.9507913,0.950791253,0.950791253,
72,4.96,26.77,14.62,6.22,51.79,127,123.7103615,-3.289638508,3.289638508,
73,5.16,29.2,15.28,5.54,51.8,124,126.056169,2.05616901,2.05616901,
74,4.84,25.91,15.49,6,51.8,125,122.9745498,-2.025450242,2.025450242,
75,4.2,26.15,14.25,6.16,51.81,122,120.9051222,-1.094877796,1.094877796,
76,4.88,29.24,14.45,6.29,51.81,124,124.3409048,0.340904754,0.340904754,
77,4.89,23.08,14.92,6.49,51.84,129,122.1304788,-6.869521183,6.869521183,
78,4.76,26.76,15.4,6.16,51.84,123,122.7343929,-0.265607079,0.265607079,
79,4.88,31.13,14.05,6.52,51.86,133,124.9133712,-8.086628751,8.086628751,
80,4.74,27.58,15.46,6.08,51.86,124,122.9466503,-1.05334973,1.05334973,
81,4.9,27.96,15.14,5.82,51.86,128,124.359913,-3.640087006,3.640087006,
82,4.45,28.23,14.96,6.25,51.86,127,121.8933569,-5.106643062,5.106643062,
83,5.12,28.95,15.08,5.88,51.87,126,125.6586176,-0.341382422,0.341382422,
84,4.61,31.33,14.82,6.89,51.87,121,123.0725894,2.072589379,2.072589379,
85,5.14,27.67,15.03,5.75,51.89,129,125.5368638,-3.463136241,3.463136241,
86,4.75,25.17,15.44,5.5,51.9,124,123.0066548,-0.993345192,0.993345192,
87,5.06,29.06,15.57,6.2,51.9,125,124.6769392,-0.323060836,0.323060836,
88,4.81,31.06,14.74,6.54,51.9,122,124.3110153,2.311015257,2.311015257,
89,5.05,27.53,15.45,6.08,51.9,122,124.4585915,2.458591459,2.458591459,
90,5.1,29.78,15.09,6.27,51.9,127,125.3202475,-1.679752479,1.679752479,
91,5.04,29.17,15.07,6.24,51.91,127,124.9644053,-2.03559472,2.03559472,
92,4.91,25.44,15.63,5.85,51.91,126,123.2345117,-2.765488283,2.765488283,
93,4.91,29.47,15.33,6,51.91,124,124.4927415,0.492741454,0.492741454,
94,4.97,27.54,15.47,5.55,51.92,123,124.6368091,1.636809139,1.636809139,
95,4.91,28.49,15.3,5.83,51.92,127,124.4607541,-2.539245894,2.539245894,
96,4.73,26.96,14.69,5.74,51.92,129,123.4626956,-5.537304427,5.537304427,
97,5.28,26.82,15.45,5.93,51.93,122,125.4636272,3.463627217,3.463627217,
98,4.96,28.28,15.46,6.03,51.93,124,124.3077555,0.307755529,0.307755529,
99,4.92,28.76,15.2,6.04,51.93,124,124.4243876,0.42438759,0.42438759,
100,4.8,28.77,14.83,6.27,51.93,121,123.7784729,2.778472945,2.778472945,
101,4.81,25.85,15.4,6.02,51.93,117,122.8892198,5.889219759,5.889219759,
102,5.2,29.95,14.9,6.31,51.93,122,125.8887712,3.888771246,3.888771246,
103,4.94,27.13,15.4,6.01,51.94,126,123.9215091,-2.078490927,2.078490927,
104,4.7,25.71,15.41,6.12,51.94,123,122.2472069,-0.752793064,0.752793064,
105,4.89,27.33,15.42,6.14,51.94,123,123.5650139,0.56501391,0.56501391,
106,5.16,28.2,15.55,6.16,51.94,125,125.003537,0.00353704,0.00353704,
107,4.86,28.08,15.53,5.57,51.95,123,124.2079155,1.207915537,1.207915537,
108,5.06,25.82,15.04,5.78,51.95,126,124.443314,-1.556685953,1.556685953,
109,5.1,28.86,15.4,6.13,51.95,127,125.0540112,-1.945988837,1.945988837,
110,5.04,27.4,15.49,6.31,51.96,125,124.0517857,-0.948214307,0.948214307,
111,4.86,29.18,14.46,6.69,51.96,121,123.8638711,2.863871078,2.863871078,
112,4.88,24.65,16.32,5.97,51.97,126,122.2609534,-3.739046602,3.739046602,
113,5.31,30.48,14.93,6.21,51.97,130,126.4812664,-3.518733599,3.518733599,
114,5.42,28.61,15.23,6.2,51.97,133,126.383793,-6.616207046,6.616207046,
115,5.17,29.1,15.55,6.17,51.97,123,125.249714,2.249713994,2.249713994,
116,5.04,28.98,15.24,6.33,51.98,125,124.6859229,-0.314077118,0.314077118,
117,5.01,28.57,15.73,6.18,51.98,120,124.2501173,4.250117296,4.250117296,
118,4.78,31.27,14.41,6.94,51.99,122,124.1052288,2.105228778,2.105228778,
119,5.13,29.97,15.4,6.59,51.99,126,124.8086972,-1.191302843,1.191302843,
120,4.96,27.87,15.61,5.92,52,121,124.2228561,3.222856125,3.222856125,
121,5.02,26.54,15.46,6.12,52,116,123.9418123,7.941812262,7.941812262,
122,4.7,27.95,15.91,6.74,52,121,121.8164719,0.816471881,0.816471881,
123,4.91,29.12,15.41,5.78,52,127,124.6012155,-2.398784496,2.398784496,
124,5.16,30.42,15.35,6.49,52,128,125.1743291,-2.825670936,2.825670936,
125,5.27,30.42,15.21,6.07,52.02,127,126.2476121,-0.752387869,0.752387869,
126,4.94,27.72,14.57,6.36,52.02,122,123.9561362,1.956136155,1.956136155,
127,4.62,23.49,15.09,6.31,52.03,126,121.5631849,-4.436815061,4.436815061,
128,5.38,30.24,15.45,6.11,52.04,129,126.4013016,-2.598698413,2.598698413,
129,5.09,27.65,15.5,6.04,52.04,120,124.7303559,4.730355928,4.730355928,
130,5.17,27.74,15.29,6.09,52.04,131,125.2235625,-5.776437543,5.776437543,
131,4.79,24.29,15.43,6.14,52.05,122,122.2743675,0.274367528,0.274367528,
132,4.57,26.73,15.43,6.03,52.05,122,122.0505201,0.050520057,0.050520057,
133,5.12,28.03,15.72,5.82,52.06,124,125.0958881,1.095888143,1.095888143,
134,5.25,28.44,15.41,5.86,52.07,132,125.9665496,-6.033450449,6.033450449,
135,4.31,23.12,13.97,6.28,52.07,121,120.5746274,-0.425372619,0.425372619,
136,4.85,27.59,15.44,6.36,52.07,124,123.1765343,-0.823465654,0.823465654,
137,5.13,27.27,15.51,6.43,52.07,129,124.2883056,-4.711694362,4.711694362,
138,5.08,27.12,15.02,6.05,52.08,124,124.7787824,0.778782367,0.778782367,
139,4.41,21.7,15.65,6.57,52.08,113,120.3947588,7.394758815,7.394758815,
140,4.19,23.96,14.23,6.07,52.08,122,120.8120712,-1.18792876,1.18792876,
141,5.08,30.16,15.07,6.64,52.08,123,124.9198178,1.919817793,1.919817793,
142,4.93,26.16,15.61,6.13,52.08,122,123.275059,1.275059036,1.275059036,
143,5.11,25.61,15.6,5.89,52.09,121,124.2254467,3.225446673,3.225446673,
144,5.27,28.32,15.37,6.25,52.1,129,125.572577,-3.427422969,3.427422969,
145,5,29.57,15.04,5.98,52.12,127,125.2027886,-1.797211357,1.797211357,
146,5.08,28.16,15.6,6.32,52.12,122,124.4019762,2.401976217,2.401976217,
147,5.24,29.12,15.49,6.06,52.13,123,125.7735797,2.773579655,2.773579655,
148,4.73,28.6,14.61,5.84,52.13,126,123.9499964,-2.050003599,2.050003599,
149,4.81,26.3,15.36,6.09,52.14,122,123.0050832,1.005083197,1.005083197,
150,4.83,30.65,14.29,6.9,52.14,126,124.2202233,-1.779776696,1.779776696,
151,4.8,26.79,15.62,6.4,52.15,123,122.5164496,-0.483550378,0.483550378,
152,4.92,27.01,15.47,6.43,52.15,126,123.2448671,-2.755132891,2.755132891,
153,4.95,28.95,15.31,6.42,52.16,126,124.1115227,-1.88847726,1.88847726,
154,5.12,29.38,15.45,6.21,52.16,126,125.1453203,-0.854679662,0.854679662,
155,4.94,29.31,14.96,6.72,52.16,127,124.1008866,-2.899113429,2.899113429,
156,5.02,29.54,15.3,6.05,52.16,122,125.0343911,3.034391146,3.034391146,
157,5.02,29.07,15.59,6.24,52.17,122,124.4794524,2.479452445,2.479452445,
158,5.2,29.44,15.46,5.79,52.17,126,125.9916031,-0.008396854,0.008396854,
