,tsi,stfi,caliper,moisture,basisweight,rct,prediction
0,4.56,19.81,10.6,6.74,34.89,76,74.14456248
1,4.6,19.3,10.64,7.14,35.26,74,74.73738154
2,4.63,20.11,10.53,7.04,35.28,77,75.1048305
3,4.71,20.25,10.61,6.8,35.34,76,77.7836787
4,4.74,17.52,11.25,6.35,36.37,83,82.57268527
5,4.52,20.51,10.11,7.82,36.81,73,71.40592049
6,4.75,19.69,10.06,6.79,36.9,76,76.4464906
7,4.57,20.76,9.92,7.65,36.92,71,71.33302645
8,4.61,21.42,10.37,7.43,37.58,72,74.65005588
9,4.6,21.3,10.54,7.07,38.03,78,76.15077823
10,4.59,18.57,11.96,6.17,38.22,85,84.40169138
11,4.77,18.14,11.72,6.86,38.44,86,85.94653789
12,4.76,20.44,12.14,6.2,39.49,88,88.40376469
13,4.21,19.7,12.3,6.67,40.59,77,77.53314505
14,4.83,21.94,11.16,7.21,40.73,88,86.21907976
