,tsi,stfi,caliper,moisture,basisweight,cull,rct,prediction
0,4.06,19.15,10.82,7.06,26.16,119.5,122.0,105.02997380294204
1,4.56,19.81,10.6,6.74,34.89,69.5,76.0,82.95066365259939
2,4.6,19.3,10.64,7.14,35.26,69.5,74.0,82.96447229816047
3,4.63,20.11,10.53,7.04,35.28,69.5,77.0,82.96345388640998
4,4.71,20.25,10.61,6.8,35.34,69.5,76.0,83.23341920329725
5,4.74,17.519999999999996,11.25,6.35,36.37,69.5,83.0,84.6688653557446
6,4.52,20.51,10.11,7.82,36.81,69.5,73.0,84.56242745985432
7,4.75,19.69,10.06,6.79,36.9,69.5,76.0,83.2686093011173
8,4.57,20.76,9.92,7.65,36.92,69.5,71.0,84.01318618107621
9,4.61,21.42,10.37,7.43,37.58,69.5,72.0,83.90119648816463
10,4.6,21.3,10.54,7.07,38.03,69.5,78.0,83.5081763488173
11,4.59,18.57,11.96,6.17,38.22,69.5,85.0,85.67779438207128
12,4.77,18.14,11.72,6.86,38.44,69.5,86.0,84.36024097564868
13,4.7,22.18,10.92,6.07,38.57,89.5,87.0,93.88903423514338
14,4.76,20.44,12.14,6.2,39.49,69.5,88.0,86.51527796446771
15,3.93,19.47,10.58,7.09,39.73,119.5,127.0,108.00561680600875
16,4.97,20.09,11.74,4.48,40.13,89.5,97.0,106.27167931725184
17,5.08,23.34,11.23,6.25,40.51,89.5,92.0,96.86107053091513
18,4.21,19.7,12.3,6.67,40.59,69.5,77.0,85.89697158861716
19,4.43,21.56,12.17,5.72,40.61,89.5,96.0,96.56803993812692
20,4.83,21.94,11.16,7.21,40.73,69.5,88.0,85.17404164709188
21,5.08,22.61,11.3,6.56,40.8,89.5,89.0,95.96876811846775
22,5.03,25.03,11.4,6.32,40.82,89.5,93.0,96.87569334023058
23,5.18,23.5,11.26,6.76,40.97,89.5,94.0,97.29179881800835
24,5.19,24.24,11.41,5.94,40.98,89.5,96.0,99.8989339887866
25,5.02,24.54,11.03,6.5,40.98,89.5,98.0,95.98326484200352
26,5.42,26.11,11.27,6.71,41.09,89.5,97.0,102.08209683479058
27,4.99,21.07,11.99,6.31,41.15,89.5,90.0,95.80578354867296
28,5.25,25.91,11.4,6.67,41.2,89.5,94.0,99.48962875802636
29,5.05,21.72,12.21,5.99,41.3,89.5,93.0,98.06180299303874
30,4.91,21.87,11.98,6.55,41.31,89.5,96.0,94.65173262787815
31,4.94,22.93,12.02,6.33,41.32,89.5,95.0,95.80007243120863
32,4.97,22.84,12.65,6.58,41.35,89.5,96.0,95.81112251084548
33,5.07,25.08,11.3,6.92,41.4,89.5,94.0,96.56408244520162
34,4.67,22.36,11.59,6.58,41.4,89.5,88.0,93.22170270442044
35,5.19,25.56,11.45,6.99,41.42,89.5,95.0,98.43782556732819
36,5.01,23.62,11.43,6.41,41.49,89.5,92.0,96.10931725628255
37,4.8,21.26,12.12,6.25,41.49,89.5,92.0,94.88021460318913
38,4.73,22.37,12.05,6.42,41.5,89.5,94.0,94.14828631855467
39,4.8,23.83,12.41,6.33,41.51,89.5,92.0,95.42661982680056
40,5.13,25.79,11.34,6.86,41.51,89.5,97.0,97.71913393777334
41,4.82,21.54,11.96,6.79,41.52,89.5,93.0,93.62375848641743
42,4.89,21.45,12.1,6.74,41.53,89.5,91.0,94.21811388610018
43,5.08,24.25,11.7,6.26,41.56,89.5,93.0,97.70637159474805
44,4.71,21.99,12.26,6.38,41.57,89.5,92.0,94.29950460686794
45,4.73,23.57,11.98,7.02,41.57,119.5,90.0,110.32807269690545
46,4.8,22.52,11.97,6.74,41.58,89.5,93.0,93.8085391295156
47,3.64,18.21,12.44,6.79,41.58,89.5,85.0,97.31566113657425
48,5.03,22.64,12.09,6.36,41.58,89.5,92.0,96.5823109471414
49,5.17,23.8,11.3,6.44,41.58,89.5,94.0,97.92929260686526
50,5.02,23.28,12.53,5.66,41.62,119.5,95.0,116.11709230662133
51,4.78,21.6,12.56,6.05,41.63,89.5,94.0,96.12934660098982
52,4.6,22.59,12.14,6.41,41.67,119.5,83.0,111.2357200038905
53,4.79,21.9,12.15,6.68,41.69,89.5,93.0,93.84820651610008
54,5.13,24.49,11.43,6.25,41.71,89.5,94.0,98.29777859623682
55,5.07,23.12,11.5,6.37,41.72,89.5,94.0,96.81174701988846
56,4.96,25.59,11.55,6.55,41.73,89.5,96.0,96.18025340608185
57,4.06,20.6,12.46,6.3,41.74,89.5,86.0,95.72136064678017
58,5.05,23.86,11.48,6.67,41.74,89.5,93.0,96.20879428639326
59,4.82,23.46,11.35,6.39,41.74,89.5,94.0,94.56593030408968
60,4.89,21.16,12.27,6.13,41.76,89.5,97.0,96.09655227643529
61,4.88,23.74,12.04,7.12,41.76,89.5,94.0,94.67290703392527
62,5.27,24.72,11.62,6.28,41.78,89.5,94.0,100.22762513568136
63,4.68,22.53,13.11,5.93,41.79,89.5,94.0,97.10258105627797
64,5.19,26.12,11.42,6.48,41.8,89.5,99.0,99.20696327251449
65,4.54,19.69,13.33,6.6,41.82,89.5,92.0,94.16670273038088
66,4.86,22.19,12.57,6.42,41.85,89.5,95.0,95.26757229954131
67,5.22,25.05,11.61,6.24,41.85,89.5,98.0,99.82240871367871
68,4.98,22.82,12.6,6.17,41.89,89.5,93.0,97.32398695319468
69,4.96,24.06,11.52,6.48,41.95,89.5,96.0,95.77044148304027
70,4.97,24.11,11.48,6.43,42.04,89.5,97.0,96.01407662797385
71,4.8,22.29,12.52,6.48,42.09,89.5,90.0,94.78686404835602
72,4.83,24.35,11.69,6.72,42.14,89.5,96.0,94.5491774855075
73,5.06,23.92,11.69,6.4,42.16,89.5,98.0,97.1183785200286
74,4.63,21.71,12.37,6.61,42.18,89.5,94.0,93.71771819873018
75,4.96,22.69,11.67,6.32,42.19,89.5,98.0,95.95898115710429
76,4.74,24.34,11.59,6.71,42.21,89.5,98.0,94.03900654956834
77,5.19,25.14,11.52,6.53,42.22,89.5,99.0,98.87019477646643
78,4.6,22.39,12.6,6.39,42.28,89.5,100.0,94.56796687731378
79,4.78,21.36,13.5,6.24,42.29,89.5,94.0,96.24709765976152
80,4.72,25.65,11.6,6.33,42.39,89.5,100.0,95.35307986646183
81,4.37,22.04,12.6,6.57,42.4,89.5,91.0,94.34418025633326
82,4.99,23.8,11.6,6.83,42.4,89.5,92.0,95.63356757264953
83,5.18,25.89,11.77,6.76,42.44,89.5,99.0,99.01289832109252
84,4.73,22.84,13.41,6.67,42.51,89.5,93.0,95.07747982487402
85,5.11,24.5,11.89,6.31,42.53,89.5,99.0,98.40714378342015
86,4.61,18.98,12.69,7.01,42.54,89.5,91.0,93.2879785058764
87,4.66,21.5,13.53,6.32,42.55,89.5,92.0,95.66173737175743
88,4.25,19.07,12.57,7.27,42.56,89.5,87.0,94.10418677169991
89,4.93,25.66,11.75,7.29,42.7,89.5,96.0,96.17035856329909
90,5.21,23.05,11.86,6.34,42.71,89.5,97.0,99.11020918698732
91,4.97,25.08,11.55,7.3,42.77,89.5,94.0,96.21852254006046
92,4.73,25.06,11.67,6.84,42.79,89.5,96.0,94.37781605189494
93,5.09,24.3,12.07,6.44,42.86,89.5,98.0,97.94895794172125
94,5.07,24.01,12.01,6.35,42.92,89.5,99.0,97.83898840261755
95,4.82,24.54,12.19,7.25,42.93,89.5,94.0,95.14726698552698
96,4.69,17.96,13.83,6.34,42.96,89.5,93.0,95.64102479170212
97,4.67,20.88,12.63,6.67,43.05,89.5,93.0,93.98416760668289
98,5.01,24.85,12.36,6.87,43.17,89.5,92.0,96.89720617691555
99,4.82,24.67,11.79,7.35,43.21,89.5,96.0,95.20633180566216
100,5.01,21.9,12.63,6.28,43.24,89.5,98.0,97.33163470910752
101,5.09,24.35,12.02,6.91,43.28,89.5,101.0,97.46347207212612
102,4.84,24.89,11.8,6.77,43.29,89.5,98.0,95.17472386988561
103,4.93,24.74,12.11,6.45,43.31,89.5,99.0,96.59066681614897
104,5.09,23.04,12.14,6.71,43.46,89.5,99.0,97.25434504712663
105,4.91,24.78,12.31,6.77,43.56,89.5,94.0,96.06043811859206
106,4.67,20.61,13.12,6.09,43.93,89.5,94.0,96.47184169766608
107,4.3,20.99,12.98,6.91,44.02,89.5,93.0,94.90493175955962
108,4.98,25.25,12.27,6.93,44.08,89.5,99.0,96.9916208549434
109,4.98,22.93,12.64,6.57,44.16,89.5,101.0,96.78832689952498
110,4.91,25.14,12.61,6.6,44.23,89.5,102.0,96.87505161554694
111,4.88,24.82,12.52,6.97,44.44,89.5,93.0,96.1782760343271
112,4.98,25.48,12.17,6.91,44.61,89.5,102.0,97.23260849586785
113,4.85,32.17,15.26,8.16,45.21,119.5,121.0,120.08637582250358
114,4.94,25.67,13.01,6.31,45.29,89.5,96.0,98.85877197563337
