grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050550,4/16/2017 2:36,123,4.88,,15.56,0,0,119.5
NL050550,4/16/2017 4:09,127,5.15,,15.56,0,0,119.5
NL050550,4/16/2017 0:59,123,#DIV/0!,,15.67,#DIV/0!,0,119.5
NL050550,1/19/2017 14:27,122,4.06,19.15,10.82,7.06,26.16,119.5
NL050550,3/4/2017 11:47,127,3.93,19.47,10.58,7.09,39.73,119.5
NL050550,3/19/2017 7:49,90,4.73,23.57,11.98,7.02,41.57,119.5
NL050550,3/19/2017 5:42,95,5.02,23.28,12.53,5.66,41.62,119.5
NL050550,3/19/2017 4:51,83,4.6,22.59,12.14,6.41,41.67,119.5
NL050550,2/5/2017 2:07,121,4.85,32.17,15.26,8.16,45.21,119.5
NL050550,4/16/2017 5:43,130,4.84,31.08,15.55,8.26,45.99,119.5
NL050550,3/7/2017 13:36,126,4.88,33.3,15.85,7.93,50.31,119.5
NL050550,2/26/2017 15:42,122,5.34,30.32,14.93,5.53,50.77,119.5
NL050550,1/13/2017 8:45,127,4.75,26.09,15.82,6.16,50.9,119.5
NL050550,2/4/2017 21:17,125,4.77,28.11,15.23,6.42,50.96,119.5
NL050550,2/21/2017 2:29,120,5.13,27.63,15.48,5.95,51,119.5
NL050550,3/4/2017 14:01,129,5.31,27.61,15.05,5.67,51.26,119.5
NL050550,2/28/2017 9:06,125,5.22,29.02,14.78,6.35,51.3,119.5
NL050550,2/28/2017 15:48,134,5.23,28.91,14.8,5.88,51.31,119.5
NL050550,3/28/2017 20:36,121,4.68,26.34,15.33,5.96,51.35,119.5
NL050550,3/23/2017 2:42,123,4.88,28.38,14.06,6.44,51.42,119.5
NL050550,3/4/2017 15:40,130,5.38,28.55,15.1,5.63,51.44,119.5
NL050550,3/29/2017 3:34,121,4.55,26.47,15.55,5.79,51.44,119.5
NL050550,4/8/2017 7:07,126,5.09,27.94,14.96,6,51.44,119.5
NL050550,2/27/2017 3:04,125,5.16,29.66,15.21,5.76,51.46,119.5
NL050550,2/26/2017 20:33,134,5.26,27.81,14.82,5.81,51.49,119.5
NL050550,3/6/2017 19:25,134,5.14,29.25,15.42,5.94,51.49,119.5
NL050550,1/12/2017 23:26,116,4.79,18.83,15.42,6.12,51.49,119.5
NL050550,2/21/2017 7:18,126,5.37,28.66,15.18,5.87,51.51,119.5
NL050550,1/13/2017 1:40,122,4.78,18.69,15.63,5.48,51.53,119.5
NL050550,2/27/2017 7:31,125,5.12,27.63,15.21,5.59,51.53,119.5
NL050550,3/5/2017 10:31,129,5.33,26.58,15.24,5.72,51.55,119.5
NL050550,3/12/2017 1:12,123,5.15,29.61,14.91,6.52,51.56,119.5
NL050550,3/31/2017 3:52,124,4.94,27.37,15.45,6.04,51.56,119.5
NL050550,2/20/2017 10:25,122,5.21,30.03,15.35,6.18,51.57,119.5
NL050550,3/28/2017 1:09,127,4.73,26.87,15.37,5.91,51.59,119.5
NL050550,3/5/2017 20:14,123,5.06,29.72,15.3,6.15,51.6,119.5
NL050550,4/4/2017 4:44,133,5.19,28.92,14.18,6.07,51.64,119.5
NL050550,2/20/2017 4:33,126,4.98,28.6,15.46,5.75,51.64,119.5
NL050550,3/23/2017 18:15,127,4.9,29.38,14.37,6.38,51.67,119.5
NL050550,3/28/2017 15:50,122,4.63,26.81,15.43,5.98,51.68,119.5
NL050550,3/7/2017 4:48,124,5.08,25.63,15.7,5.71,51.69,119.5
NL050550,3/23/2017 13:25,136,5.06,30.12,14.26,6.14,51.71,119.5
NL050550,3/5/2017 3:03,127,5.09,28.02,15.37,6.58,51.72,119.5
NL050550,2/10/2017 3:54,127,4.92,28.87,14.72,6.27,51.74,119.5
NL050550,3/4/2017 17:18,132,5.34,29.4,15.25,6.08,51.75,119.5
NL050550,1/19/2017 17:59,122,4.87,25.64,15.41,6.15,51.76,119.5
NL050550,2/28/2017 19:04,133,5.18,30.09,14.93,6.37,51.76,119.5
NL050550,3/29/2017 5:09,124,4.78,25.64,15.6,5.63,51.77,119.5
NL050550,3/24/2017 3:51,122,4.84,27.68,14.27,6.58,51.78,119.5
NL050550,1/21/2017 2:11,124,5.16,29.2,15.28,5.54,51.8,119.5
NL050550,4/5/2017 4:23,125,4.84,25.91,15.49,6,51.8,119.5
NL050550,3/21/2017 23:05,124,4.88,29.24,14.45,6.29,51.81,119.5
NL050550,3/28/2017 23:44,123,4.76,26.76,15.4,6.16,51.84,119.5
NL050550,3/22/2017 16:49,133,4.88,31.13,14.05,6.52,51.86,119.5
NL050550,3/28/2017 17:25,124,4.74,27.58,15.46,6.08,51.86,119.5
NL050550,2/11/2017 3:01,128,4.9,27.96,15.14,5.82,51.86,119.5
NL050550,1/11/2017 18:21,127,4.45,28.23,14.96,6.25,51.86,119.5
NL050550,3/21/2017 16:06,121,4.61,31.33,14.82,6.89,51.87,119.5
NL050550,3/28/2017 19:00,124,4.75,25.17,15.44,5.5,51.9,119.5
NL050550,2/20/2017 18:32,125,5.06,29.06,15.57,6.2,51.9,119.5
NL050550,3/21/2017 18:25,122,4.81,31.06,14.74,6.54,51.9,119.5
NL050550,2/26/2017 14:06,122,5.05,27.53,15.45,6.08,51.9,119.5
NL050550,2/28/2017 20:44,127,5.1,29.78,15.09,6.27,51.9,119.5
NL050550,2/5/2017 16:41,127,5.04,29.17,15.07,6.24,51.91,119.5
NL050550,4/14/2017 11:39,126,4.91,25.44,15.63,5.85,51.91,119.5
NL050550,1/20/2017 19:19,124,4.91,29.47,15.33,6,51.91,119.5
NL050550,4/14/2017 5:03,123,4.97,27.54,15.47,5.55,51.92,119.5
NL050550,2/12/2017 1:54,127,4.91,28.49,15.3,5.83,51.92,119.5
NL050550,4/7/2017 11:58,122,5.28,26.82,15.45,5.93,51.93,119.5
NL050550,4/14/2017 3:32,124,4.96,28.28,15.46,6.03,51.93,119.5
NL050550,2/27/2017 19:54,124,4.92,28.76,15.2,6.04,51.93,119.5
NL050550,2/10/2017 2:02,121,4.8,28.77,14.83,6.27,51.93,119.5
NL050550,1/21/2017 8:59,117,4.81,25.85,15.4,6.02,51.93,119.5
NL050550,3/11/2017 23:23,122,5.2,29.95,14.9,6.31,51.93,119.5
NL050550,1/20/2017 7:01,126,4.94,27.13,15.4,6.01,51.94,119.5
NL050550,3/28/2017 22:11,123,4.7,25.71,15.41,6.12,51.94,119.5
NL050550,2/20/2017 7:12,125,5.16,28.2,15.55,6.16,51.94,119.5
NL050550,1/19/2017 4:49,121,4.97,,15.46,6.11,51.95,119.5
NL050550,4/14/2017 10:06,123,4.86,28.08,15.53,5.57,51.95,119.5
NL050550,3/5/2017 4:39,127,5.1,28.86,15.4,6.13,51.95,119.5
NL050550,2/20/2017 16:56,125,5.04,27.4,15.49,6.31,51.96,119.5
NL050550,3/24/2017 9:26,121,4.86,29.18,14.46,6.69,51.96,119.5
NL050550,1/4/2017 12:09,126,4.88,24.65,16.32,5.97,51.97,119.5
NL050550,2/28/2017 12:24,130,5.31,30.48,14.93,6.21,51.97,119.5
NL050550,3/4/2017 22:10,133,5.42,28.61,15.23,6.2,51.97,119.5
NL050550,2/20/2017 23:17,123,5.17,29.1,15.55,6.17,51.97,119.5
NL050550,2/27/2017 1:27,125,5.04,28.98,15.24,6.33,51.98,119.5
NL050550,2/20/2017 21:43,120,5.01,28.57,15.73,6.18,51.98,119.5
NL050550,3/23/2017 20:41,122,4.78,31.27,14.41,6.94,51.99,119.5
NL050550,3/5/2017 15:25,126,5.13,29.97,15.4,6.59,51.99,119.5
NL050550,3/7/2017 3:16,121,4.96,27.87,15.61,5.92,52,119.5
NL050550,3/8/2017 19:58,116,5.02,26.54,15.46,6.12,52,119.5
NL050550,3/9/2017 3:45,121,4.7,27.95,15.91,6.74,52,119.5
NL050550,1/20/2017 6:00,127,4.91,29.12,15.41,5.78,52,119.5
NL050550,3/5/2017 18:38,128,5.16,30.42,15.35,6.49,52,119.5
NL050550,4/7/2017 18:28,127,5.27,30.42,15.21,6.07,52.02,119.5
NL050550,1/11/2017 14:42,126,4.62,23.49,15.09,6.31,52.03,119.5
NL050550,2/21/2017 13:48,129,5.38,30.24,15.45,6.11,52.04,119.5
NL050550,2/21/2017 5:41,120,5.09,27.65,15.5,6.04,52.04,119.5
NL050550,4/7/2017 20:05,131,5.17,27.74,15.29,6.09,52.04,119.5
NL050550,3/30/2017 21:34,122,4.79,24.29,15.43,6.14,52.05,119.5
NL050550,3/28/2017 7:28,122,4.57,26.73,15.43,6.03,52.05,119.5
NL050550,2/19/2017 23:49,124,5.12,28.03,15.72,5.82,52.06,119.5
NL050550,2/17/2017 17:02,132,5.25,28.44,15.41,5.86,52.07,119.5
NL050550,3/31/2017 5:28,124,4.85,27.59,15.44,6.36,52.07,119.5
NL050550,3/6/2017 21:01,129,5.13,27.27,15.51,6.43,52.07,119.5
NL050550,2/28/2017 17:27,124,5.08,27.12,15.02,6.05,52.08,119.5
NL050550,1/13/2017 0:00,113,4.41,21.7,15.65,6.57,52.08,119.5
NL050550,3/11/2017 21:36,123,5.08,30.16,15.07,6.64,52.08,119.5
NL050550,4/5/2017 2:46,122,4.93,26.16,15.61,6.13,52.08,119.5
NL050550,4/7/2017 10:17,121,5.11,25.61,15.6,5.89,52.09,119.5
NL050550,1/19/2017 8:57,123,4.86,,15.46,6.13,52.09,119.5
NL050550,1/19/2017 1:46,125,4.98,,15.51,6.41,52.1,119.5
NL050550,2/12/2017 3:32,127,5,29.57,15.04,5.98,52.12,119.5
